"","ResponseId","co1","co2","co3an","co3bn","co3abn","co4","co5","co6","co7_1","co7_2","co7_3","co8","bs1","bs2","bs3","traust1","traust2","traust3_1","traust3_2","traust3_3","traust3_4","traust3_5","traust3_6","traust3_7","traust3_8","traust3_9","traust4","traust5","heilsa1","heilsa2","heilsa3","heilsa4","heilsa5","heilsa6","heilsa7","br1","br2","br3","br4","br5_1","br5_2","br5_3","br5_4","af1_1","af1_2","af1_3","af1_4","af1_5","af1_6","af1_7","af1_8","af1_9","af2_1","af2_2","af2_3","af2_4","af2_5","af2_6","vh","kyn","aldur4","aldur6","aldur7","buseta","buseta4","menntun3","menntun4","menntun5","stada4","stada","atvinna4","atvinna","hjuskapur4","born","einstaklingstekjur5","einstaklingstekjur6","heimilistekjur5","heimilistekjur6","kos6","Vigt"
"1","R_2wprAQrSVHIq6Mm        ","Ekki miklar","Nei","1-2 einstaklinga","1-2 einstaklinga","3-10 manns","Já, nokkuð oft/nær allan tímann","Nei","Já, ég hef farið í sýnatöku hjá Landspítala eða heilsugæslu","Öllu eða nær öllu leyti","Mjög miklu leyti","Hvorki miklu né litlu leyti eða minna","Mjög eða frekar líklegt","Já, tvímælalaust","Já, tvímælalaust","Já, líklega","Mjög ánægð(ur)","Mjög ánægð(ur)","Mjög vel","Mjög vel","Mjög vel","Hvorki vel né illa","Hvorki vel né illa","Frekar vel","Mjög vel","Hvorki vel né illa","Hvorki vel né illa","Öðru hvoru","Öðru hvoru","Mjög góða","Nei","Góða","Já","Svipað og vanalega","Já","Minni en vanalega","Frekar mikil","Já, vinnutími minn var skorinn niður í gegnum hlutabótaleið","Minna","Mjög mikil","Mjög sammála","Frekar ósammála","Frekar ósammála","Mjög sammála","Hvorki miklar né litlar","Frekar miklar","Hvorki miklar né litlar","Mjög miklar","Frekar miklar","Frekar miklar","Hvorki miklar né litlar","Hvorki miklar né litlar","Frekar litlar","Frekar sammála","Frekar sammála","Frekar sammála","Hvorki sammála né ósammála","Hvorki sammála né ósammála","Frekar sammála",NA,"Kona","18-29 ára","18-25 ára","18-25 ára","Landsbyggð","Landsbyggðin","Grunnskólamenntun","Grunnskólanám","Grunnskólanám","Önnur staða á vinnumarkaði","Annað, hvað?",NA,NA,"Einhleyp(ur)","Engin börn á heimilinu","301-500 þús. kr.","301-500 þús. kr.","400 þús. kr. eða lægri","400 þús. kr. eða lægri",NA,5.0331589306359
"2","R_1dyS7dnFEgqa7g4        ","Ekki miklar","Nei",NA,NA,NA,"Já, nokkuð oft/nær allan tímann","Nei","Nei, ég hef ekki farið í sýnatöku",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Karl","18-29 ára","18-25 ára","18-25 ára","Landsbyggð","Landsbyggðin","Grunnskólamenntun","Grunnskólanám","Grunnskólanám","Í launuðu starfi","Í launuðu starfi","Skrifstofu-, sölu- og þjónustufólk","Þjónustu-, umönnunar-, sölu- og afgreiðslufólk","Einhleyp(ur)","Engin börn á heimilinu","301-500 þús. kr.","301-500 þús. kr.","400 þús. kr. eða lægri","400 þús. kr. eða lægri",NA,5
"3","R_1Hi5WxFh95JFr1H        ","Ekki miklar","Já, hvað?","Enga","1-2 einstaklinga","1-2 einstaklinga","Já, stundum eða sjaldan","Nei","Nei, ég hef ekki farið í sýnatöku","Frekar miklu leyti eða minna","Frekar miklu leyti eða minna","Hvorki miklu né litlu leyti eða minna","Mjög eða frekar líklegt","Já, tvímælalaust","Já, líklega","Hvorki né","Mjög ánægð(ur)","Mjög ánægð(ur)","Mjög vel","Mjög vel","Mjög vel","Mjög vel","Frekar vel","Hvorki vel né illa","Frekar vel","Mjög vel","Hvorki vel né illa","Öðru hvoru","Já, 3 sinnum í viku eða oftar","Mjög góða","Já","Góða","Nei",NA,"Já",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Karl","18-29 ára","18-25 ára","18-25 ára","Höfuðborgarsvæði","Nágrannasveitarfélög Reykjavíkur","Grunnskólamenntun","Grunnskólanám","Grunnskólanám","Í námi","Í námi",NA,NA,"Einhleyp(ur)","Engin börn á heimilinu","300 þús. kr. eða lægri","300 þús. kr. eða lægri","400 þús. kr. eða lægri","400 þús. kr. eða lægri",NA,5
"4","R_1IlY1VM7PUZSbwB        ","Frekar eða mjög miklar","Nei","3-10 manns","Enga","3-10 manns","Já, stundum eða sjaldan","Nei","Nei, ég hef óskað eftir sýnatöku en ekki fengið","Mjög miklu leyti","Mjög miklu leyti","Hvorki miklu né litlu leyti eða minna","Mjög eða frekar líklegt","Já, líklega","Já, líklega","Hvorki né","Frekar ánægð(ur)","Frekar ánægð(ur)","Frekar vel","Frekar vel","Frekar vel","Frekar vel","Frekar vel","Frekar vel","Frekar vel","Frekar illa","Frekar illa","Öðru hvoru","Já, 1-2 sinnum í viku","Sæmilega","Nei","Lélega","Já","Svipað og vanalega","Já","Mun meiri en vanalega","Mjög mikil","Nei","Minna",NA,"Hvorki sammála né ósammála","Mjög ósammála","Mjög ósammála","Frekar sammála","Frekar miklar","Frekar miklar","Frekar litlar","Mjög miklar","Frekar miklar","Frekar miklar","Frekar miklar","Frekar miklar","Frekar miklar","Frekar sammála","Hvorki sammála né ósammála","Frekar sammála","Frekar sammála","Frekar sammála","Hvorki sammála né ósammála","5","Kona","18-29 ára","18-25 ára","18-25 ára","Höfuðborgarsvæði","Nágrannasveitarfélög Reykjavíkur","Grunnskólamenntun","Grunnskólanám","Grunnskólanám","Í launuðu starfi","Í launuðu starfi","Skrifstofu-, sölu- og þjónustufólk","Þjónustu-, umönnunar-, sölu- og afgreiðslufólk","Einhleyp(ur)","Börn á heimilinu","501-700 þús. kr.","501-700 þús. kr.","401-600 þús. kr.","401-600 þús. kr.","Pírata",5
"5","R_1lcnzXinLqS3ROo        ","Ekki miklar","Nei","Enga","Enga","Enga","Nei, aldrei eða nær aldrei/Er ekki í starfi","Nei","Nei, ég hef ekki farið í sýnatöku","Öllu eða nær öllu leyti","Mjög miklu leyti","Hvorki miklu né litlu leyti eða minna","Mjög eða frekar líklegt","Já, tvímælalaust","Já, líklega","Já, líklega","Mjög ánægð(ur)","Mjög ánægð(ur)","Mjög vel","Mjög vel","Mjög vel","Frekar vel","Frekar vel","Frekar vel","Frekar vel","Frekar vel","Frekar illa","Já, 1-2 sinnum í viku","Öðru hvoru","Góða","Nei","Sæmilega","Nei",NA,"Nei",NA,"Frekar lítil","Nei","Um það bil jafn mikið",NA,"Frekar sammála","Hvorki sammála né ósammála","Mjög ósammála","Hvorki sammála né ósammála","Frekar miklar","Hvorki miklar né litlar","Frekar litlar","Hvorki miklar né litlar","Mjög miklar","Hvorki miklar né litlar","Hvorki miklar né litlar","Frekar litlar","Hvorki miklar né litlar","Frekar sammála","Frekar sammála","Frekar sammála","Mjög sammála","Frekar sammála","Hvorki sammála né ósammála","4","Kona","18-29 ára","18-25 ára","18-25 ára","Höfuðborgarsvæði","Nágrannasveitarfélög Reykjavíkur","Grunnskólamenntun","Grunnskólanám","Grunnskólanám","Önnur staða á vinnumarkaði","Annað, hvað?",NA,NA,"Einhleyp(ur)","Börn á heimilinu","300 þús. kr. eða lægri","300 þús. kr. eða lægri","400 þús. kr. eða lægri","400 þús. kr. eða lægri","Samfylkinguna",5
"6","R_2cc1n5OeICGHoyj        ","Ekki miklar","Já, hvað?","Enga","Enga","Enga","Nei, aldrei eða nær aldrei/Er ekki í starfi","Nei","Nei, ég hef ekki farið í sýnatöku","Mjög miklu leyti","Mjög miklu leyti","Hvorki miklu né litlu leyti eða minna","Mjög eða frekar líklegt","Já, líklega","Já, líklega","Já, líklega","Mjög ánægð(ur)","Mjög ánægð(ur)","Hvorki vel né illa","Hvorki vel né illa","Hvorki vel né illa","Hvorki vel né illa","Hvorki vel né illa","Hvorki vel né illa","Hvorki vel né illa","Frekar vel","Hvorki vel né illa","Nei, aldrei","Öðru hvoru","Mjög góða","Nei","Sæmilega","Já","Meira en vanalega","Já","Svipuð og vanalega","Hvorki mikil né lítil","Já, vinnutími minn var skorinn niður í gegnum hlutabótaleið","Miklu minna",NA,"Frekar ósammála","Frekar ósammála","Hvorki sammála né ósammála","Hvorki sammála né ósammála","Frekar miklar","Hvorki miklar né litlar","Hvorki miklar né litlar","Frekar miklar","Frekar miklar","Frekar miklar","Frekar miklar","Frekar litlar","Hvorki miklar né litlar","Frekar sammála","Hvorki sammála né ósammála","Mjög sammála","Frekar sammála",NA,"Frekar ósammála","2","Kona","18-29 ára","18-25 ára","18-25 ára","Höfuðborgarsvæði","Nágrannasveitarfélög Reykjavíkur","Grunnskólamenntun","Grunnskólanám","Grunnskólanám","Í launuðu starfi","Í launuðu starfi","Skrifstofu-, sölu- og þjónustufólk","Skrifstofufólk","Einhleyp(ur)","Engin börn á heimilinu","301-500 þús. kr.","301-500 þús. kr.","401-600 þús. kr.","401-600 þús. kr.",NA,5
"7","R_3dK8v2F2dkSXZOc        ","Ekki miklar","Já, hvað?","1-2 einstaklinga","1-2 einstaklinga","3-10 manns","Já, stundum eða sjaldan","Nei","Nei, ég hef ekki farið í sýnatöku","Mjög miklu leyti","Mjög miklu leyti","Hvorki miklu né litlu leyti eða minna","Mjög eða frekar líklegt","Já, tvímælalaust","Já, líklega","Hvorki né","Frekar ánægð(ur)","Frekar ánægð(ur)","Frekar vel","Mjög vel","Mjög vel","Frekar vel","Hvorki vel né illa","Frekar vel","Hvorki vel né illa","Frekar vel","Frekar illa","Öðru hvoru","Öðru hvoru","Sæmilega",NA,"Sæmilega","Nei",NA,"Nei",NA,"Hvorki mikil né lítil","Já, vinnutími minn var skorinn niður í gegnum hlutabótaleið","Um það bil jafn mikið",NA,"Hvorki sammála né ósammála","Hvorki sammála né ósammála","Hvorki sammála né ósammála","Frekar sammála","Frekar litlar","Hvorki miklar né litlar","Frekar litlar",NA,"Hvorki miklar né litlar","Mjög litlar eða engar","Hvorki miklar né litlar","Frekar litlar","Hvorki miklar né litlar","Mjög ósammála","Frekar ósammála","Frekar ósammála","Mjög ósammála","Mjög ósammála","Frekar ósammála","1","Kona","18-29 ára","18-25 ára","18-25 ára","Höfuðborgarsvæði","Reykjavík","Grunnskólamenntun","Grunnskólanám","Grunnskólanám","Í launuðu starfi","Í launuðu starfi","Skrifstofu-, sölu- og þjónustufólk","Þjónustu-, umönnunar-, sölu- og afgreiðslufólk","Einhleyp(ur)","Engin börn á heimilinu","300 þús. kr. eða lægri","300 þús. kr. eða lægri","400 þús. kr. eða lægri","400 þús. kr. eða lægri",NA,5
"8","R_3LkfNiBrLXEzhJZ        ","Ekki miklar","Nei","3-10 manns","3-10 manns","Fleiri en 10 manns","Nei, aldrei eða nær aldrei/Er ekki í starfi","Nei","Nei, ég hef ekki farið í sýnatöku","Mjög miklu leyti","Mjög miklu leyti",NA,"Mjög eða frekar líklegt","Já, tvímælalaust","Já, tvímælalaust",NA,"Mjög ánægð(ur)","Mjög ánægð(ur)","Mjög vel","Mjög vel","Mjög vel","Frekar vel","Frekar vel","Hvorki vel né illa","Mjög vel","Hvorki vel né illa","Hvorki vel né illa","Öðru hvoru","Já, 3 sinnum í viku eða oftar","Mjög góða","Já","Mjög góða","Nei",NA,"Já","Mun minni en vanalega","Frekar lítil",NA,NA,NA,"Hvorki sammála né ósammála","Hvorki sammála né ósammála","Hvorki sammála né ósammála","Mjög sammála","Hvorki miklar né litlar","Hvorki miklar né litlar","Frekar miklar","Mjög litlar eða engar","Frekar miklar","Hvorki miklar né litlar","Frekar miklar","Frekar miklar","Frekar litlar","Frekar sammála","Hvorki sammála né ósammála","Frekar sammála","Mjög sammála","Frekar sammála","Hvorki sammála né ósammála","3","Karl","18-29 ára","18-25 ára","18-25 ára","Höfuðborgarsvæði","Reykjavík","Grunnskólamenntun","Grunnskólanám","Grunnskólanám","Í námi","Í námi",NA,NA,"Í sambúð","Engin börn á heimilinu","300 þús. kr. eða lægri","300 þús. kr. eða lægri",NA,NA,NA,5
"9","R_3rZKpXgqD68jHay        ","Ekki miklar","Nei","3-10 manns","3-10 manns","Fleiri en 10 manns","Já, nokkuð oft/nær allan tímann","Nei","Nei, ég hef ekki farið í sýnatöku","Frekar miklu leyti eða minna",NA,NA,"Mjög eða frekar líklegt","Já, líklega",NA,NA,NA,NA,"Frekar vel","Frekar vel","Frekar vel","Frekar illa","Hvorki vel né illa","Frekar vel","Hvorki vel né illa","Frekar illa","Hvorki vel né illa","Nei, aldrei","Nei, aldrei","Sæmilega","Nei","Sæmilega","Já","Svipað og vanalega","Já","Svipuð og vanalega","Mjög lítil eða engin","Nei","Miklu minna",NA,"Mjög ósammála","Mjög ósammála","Mjög ósammála","Mjög ósammála","Frekar litlar","Frekar litlar","Frekar litlar","Frekar litlar","Frekar litlar","Frekar litlar","Frekar litlar","Frekar litlar","Frekar litlar","Frekar ósammála","Frekar ósammála","Frekar ósammála","Frekar ósammála","Frekar ósammála","Frekar ósammála","5","Karl","18-29 ára","18-25 ára","18-25 ára","Höfuðborgarsvæði","Nágrannasveitarfélög Reykjavíkur","Grunnskólamenntun","Grunnskólanám","Grunnskólanám","Í launuðu starfi","Í launuðu starfi","Skrifstofu-, sölu- og þjónustufólk","Þjónustu-, umönnunar-, sölu- og afgreiðslufólk","Einhleyp(ur)","Börn á heimilinu","300 þús. kr. eða lægri","300 þús. kr. eða lægri","400 þús. kr. eða lægri","400 þús. kr. eða lægri",NA,5
"10","R_qEgrLzC10wfmOAN        ","Ekki miklar","Nei",NA,NA,NA,"Já, nokkuð oft/nær allan tímann","Nei","Nei, ég hef ekki farið í sýnatöku","Mjög miklu leyti","Mjög miklu leyti","Frekar miklu leyti","Mjög eða frekar líklegt","Já, líklega","Já, líklega","Já, líklega","Mjög ánægð(ur)","Mjög ánægð(ur)","Frekar vel","Frekar vel","Frekar vel","Hvorki vel né illa","Frekar vel","Hvorki vel né illa","Frekar vel","Frekar illa","Frekar illa","Öðru hvoru","Já, 1-2 sinnum í viku","Mjög góða","Já","Góða","Nei",NA,"Já","Svipuð og vanalega","Hvorki mikil né lítil","Já, vinnutími minn var skorinn niður í gegnum hlutabótaleið","Miklu minna","Hvorki mikil né lítil","Frekar sammála","Mjög ósammála","Mjög ósammála","Hvorki sammála né ósammála","Hvorki miklar né litlar","Mjög litlar eða engar","Hvorki miklar né litlar","Frekar litlar","Frekar miklar","Hvorki miklar né litlar","Frekar miklar","Hvorki miklar né litlar","Hvorki miklar né litlar","Frekar sammála","Frekar sammála","Frekar sammála","Frekar sammála","Frekar sammála",NA,"7","Karl","18-29 ára","18-25 ára","18-25 ára","Höfuðborgarsvæði","Nágrannasveitarfélög Reykjavíkur","Grunnskólamenntun","Grunnskólanám","Grunnskólanám","Í launuðu starfi","Í launuðu starfi","Iðnaðarmenn, tæknar og sérmenntað starfsfólk","Tæknar og sérmenntað starfsfólk","Einhleyp(ur)","Börn á heimilinu","301-500 þús. kr.","301-500 þús. kr.","400 þús. kr. eða lægri","400 þús. kr. eða lægri",NA,5
"11","R_1n0YHSbted3KnXm        ","Ekki miklar","Já, hvað?","3-10 manns","1-2 einstaklinga","3-10 manns","Já, nokkuð oft/nær allan tímann","Nei","Nei, ég hef ekki farið í sýnatöku","Frekar miklu leyti eða minna","Frekar miklu leyti eða minna","Hvorki miklu né litlu leyti eða minna","Mjög eða frekar líklegt","Hvorki né","Hvorki né","Hvorki né","Mjög ánægð(ur)","Mjög ánægð(ur)","Frekar vel","Frekar vel","Mjög vel","Frekar illa","Frekar illa","Hvorki vel né illa","Mjög vel","Hvorki vel né illa","Hvorki vel né illa","Já, 1-2 sinnum í viku","Já, 1-2 sinnum í viku","Sæmilega",NA,"Sæmilega","Já","Svipað og vanalega","Nei",NA,"Frekar mikil","Já, vinnutími var skorinn niður án þess að hlutabótaleið komi á móti","Miklu minna","Mjög mikil","Frekar ósammála","Mjög ósammála","Mjög ósammála","Mjög sammála","Frekar litlar","Mjög litlar eða engar","Mjög litlar eða engar","Frekar miklar","Frekar litlar","Frekar miklar","Frekar litlar","Frekar litlar","Mjög litlar eða engar","Frekar sammála","Frekar ósammála","Frekar ósammála","Mjög ósammála","Frekar ósammála","Frekar ósammála","0 - Vinstri","Karl","30-44 ára","26-35 ára","26-35 ára","Höfuðborgarsvæði","Reykjavík","Grunnskólamenntun","Grunnskólanám","Grunnskólanám","Í launuðu starfi","Í launuðu starfi","Iðnaðarmenn, tæknar og sérmenntað starfsfólk","Iðnaðarmenn og sérhæft iðnverkafólk","Einhleyp(ur)","Börn á heimilinu","300 þús. kr. eða lægri","300 þús. kr. eða lægri","400 þús. kr. eða lægri","400 þús. kr. eða lægri","Annan flokk eða framboð",4.89216461965518
