User_Id	module	dataset	intervnrday	elecdist	geoarea	urban	polintr	pltrust	mimpissue17_10	simpissue17_10	mimptask17_10	mipmtaskprt	pidsupport1	pidsupport3	prtcls	prtclsorig	peoplimp	voteimp	civicvote	prtreflopin	prtreflopinbest	govprfmBB	Eumship	envirimp	gincdif	ceqvote	taxreduc	capicntry	privhealth	imueclt	genconsind	icenatoint	icenato	acrproimp	gndeqsal	govequal	referendcha	democr	pltscrpbribe	pltscrp	repdemocr	persvote	prtimp	govcollapse	prtfeel_S	prtfeel_B	prtfeel_D	prtfeel_V	prtfeel_P	prtfeel_C	prtfeel_M	prtfeel_FF	ldrfeel_LE	ldrfeel_SIJ	ldrfeel_BB	ldrfeel_KJ	ldrfeel_TSA	ldrfeel_TKG	ldrfeel_SDG	ldrfeel_IS	lrscale_S	lrscale_B	lrscale_D	lrscale_V	lrscale_P	lrscale_C	lrscale_M	lrscale_FF	lrscale	pidclose1	pidclose2	pidclose3	pidsymp1	pidsymp2	pidsymp3	mmbprt	mmbprt_S	mmbprt_B	mmbprt_D	mmbprt_V	mmbprt_A	mmbprt_P	mmbprt_C	mmbprt_M	mmbprt_F	mmbprt_T	mmbprt_R	vote17	prtvote17	ifprtvote17	candordch	hldecvote	fvote16	prtfvote16	bprteco	bprtimm	bprteurope	bprtfamily	bprtisencit	bprthealth	bprtenvir	bprtregpol	bprtedu	bprtequal	bprthouse	forcurr	priceindex	mediause	ecobettwors_1	undpolis	compromise	polcare	poltrust	polprob	strlead	poldecpub	polcarerich	minicetrd	majmin	immeco	immcult	immcrime	iceborn	iceance	icespeak	icetrad	gender	yob	age	finworry	rentown	pjob	njob	emplstatus	mainjobflo	uniwindw	govpriv	education	unmmb	maritals	incomecate	hinctntyearcate	hhmmb	childs	race	cntrybrncat	cntrybrnpar	languagecat	church	rlgatnd	elecday	elecmonth	elecyear	distseat
201710291459	"B2"	"ICENES2017"	40	4	2	2	3	95	99	99	99	96	5	95	5	95	9	9	95	9	99	9	9	9	9	95	9	9	9	9	9	9	9	9	9	9	5	9	9	95	95	95	95	95	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	9	9	99	9	9	99	5	5	5	5	5	5	5	5	5	5	5	5	9	99	99	5	5	9	99	99	99	99	99	99	99	99	99	99	99	99	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	"Karl"	1970	47	9	9	9	99	99	99	9	9	99	9	9	9	9	99	99	9	9	9	9	99	9	28	10	2017	10
201710291826	"B2"	"ICENES2017"	10	5	1	3	3	95	99	99	99	96	5	95	5	95	9	9	95	9	99	9	9	9	9	95	9	9	9	9	9	9	9	9	9	9	5	9	9	95	95	95	95	95	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	9	9	99	9	9	99	5	5	5	5	5	5	5	5	5	5	5	5	9	99	99	5	5	9	99	99	99	99	99	99	99	99	99	99	99	99	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	"Kona"	1990	27	9	9	9	99	99	99	9	9	99	9	9	9	9	99	99	9	9	9	9	99	9	28	10	2017	13
201710292391	"B1"	"ICENES2017"	88	5	1	3	3	4	95	95	99	96	9	96	9	99	9	9	9	9	99	9	95	95	95	9	95	95	95	95	95	5	5	95	95	9	9	9	9	9	9	9	9	9	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	9	9	99	9	9	99	9	9	9	9	9	9	9	9	9	9	9	9	9	99	99	9	9	9	99	95	95	95	95	95	95	95	95	95	95	95	95	95	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	"Karl"	1963	54	9	9	9	99	99	99	9	9	99	9	9	9	9	99	99	9	9	9	9	99	9	28	10	2017	13
201710292766	"B2"	"ICENES2017"	20	7	1	4	4	95	99	99	99	96	5	95	5	95	9	9	95	9	99	9	9	9	9	95	9	9	9	9	9	9	9	9	9	9	5	9	9	95	95	95	95	95	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	9	9	99	9	9	99	5	5	5	5	5	5	5	5	5	5	5	5	9	99	99	5	5	9	99	99	99	99	99	99	99	99	99	99	99	99	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	"Karl"	1933	84	9	9	9	99	99	99	9	9	99	9	9	9	9	99	99	9	9	9	9	99	9	28	10	2017	11
201710291027	"B2"	"ICENES2017"	25	6	1	4	3	95	2	90	98	96	5	95	5	95	5	5	95	2	96	3	2	2	2	95	5	2	1	2	2	1	2	5	1	5	5	2	8	95	95	95	95	95	96	96	98	96	96	96	96	96	5	10	4	9	6	9	6	8	7	5	8	4	96	5	96	96	6	2	0	96	8	8	96	5	5	5	5	5	5	5	5	5	5	5	5	1	11	96	5	5	1	94	98	98	98	98	98	98	98	98	2	98	98	2	2	1	3	2	1	5	2	2	2	2	2	1	1	3	2	1	1	1	1	3	"Kona"	1964	53	1	2	2	8	9	96	6	6	3	6	4	1	1	1	0	1	1	1	1	1	3	28	10	2017	11
201710291032	"B2"	"ICENES2017"	71	2	3	2	4	95	97	96	98	96	5	95	5	95	4	5	95	7	96	3	4	2	2	95	5	2	2	8	4	2	6	4	2	2	5	3	2	95	95	95	95	95	0	10	5	5	0	0	6	5	0	8	5	5	0	0	6	5	0	6	6	5	0	0	5	5	98	2	0	96	2	0	96	5	5	5	5	5	5	5	5	5	5	5	5	1	2	96	5	5	1	2	97	97	97	97	97	97	97	97	97	97	97	4	8	3	2	4	8	8	2	2	2	2	2	8	7	2	4	2	2	2	2	2	"Kona"	1956	61	4	1	1	96	98	60	3	7	3	2	3	7	7	2	0	1	1	1	1	1	2	28	10	2017	8
201710291036	"B1"	"ICENES2017"	30	7	1	4	2	4	95	95	98	96	1	4	6	96	5	5	5	2	96	3	95	95	95	1	95	95	95	95	95	5	5	95	95	1	4	4	2	8	1	5	2	4	0	6	7	0	0	0	10	9	2	3	7	6	96	0	9	9	5	97	97	97	96	3	97	8	98	1	1	4	6	6	96	2	2	2	2	2	2	2	2	2	2	2	2	1	11	96	2	3	1	4	95	95	95	95	95	95	95	95	95	95	95	95	95	2	3	1	4	1	2	4	5	1	2	2	4	5	5	2	1	1	1	1	"Karl"	1931	86	1	1	2	5	7	60	6	6	3	6	3	8	8	1	0	1	1	1	1	1	3	28	10	2017	11
201710291089	"B1"	"ICENES2017"	91	5	1	3	3	3	95	95	98	96	2	96	1	4	3	3	4	1	4	3	95	95	95	2	95	95	95	95	95	5	5	95	95	2	4	3	3	3	4	4	4	2	6	5	4	8	4	3	4	7	7	6	7	9	4	5	4	8	4	5	7	4	5	7	5	5	4	2	0	96	1	2	4	2	2	2	2	2	2	2	2	2	2	2	2	1	11	96	2	4	1	4	95	95	95	95	95	95	95	95	95	95	95	95	95	2	2	2	5	5	2	4	7	2	4	2	4	2	5	1	2	2	2	1	"Karl"	1955	62	4	1	2	5	7	20	6	6	8	6	1	3	3	2	0	1	1	1	1	1	3	28	10	2017	13
201710291095	"B1"	"ICENES2017"	21	5	1	3	5	4	95	95	98	96	2	96	1	6	5	5	4	8	96	2	95	95	95	3	95	95	95	95	95	5	5	95	95	3	4	2	2	8	4	8	4	2	98	5	5	1	7	4	96	4	96	2	2	2	4	4	3	4	98	98	8	1	98	98	5	98	8	2	0	96	1	2	6	2	2	2	2	2	2	2	2	2	2	2	2	1	6	96	2	1	6	95	95	95	95	95	95	95	95	95	95	95	95	95	95	4	8	5	8	4	4	4	2	1	2	2	5	4	5	5	4	4	2	4	"Kona"	1999	18	5	3	2	6	6	99	6	6	4	6	3	7	7	4	1	1	1	1	1	1	1	28	10	2017	13
201710291098	"B1"	"ICENES2017"	30	2	3	2	5	5	95	95	98	96	2	96	2	96	5	5	5	2	96	4	95	95	95	1	95	95	95	95	95	5	5	95	95	1	8	2	1	1	5	4	5	1	3	5	0	8	2	96	4	5	2	4	0	8	2	96	3	5	4	7	10	3	2	96	5	5	8	2	0	96	2	0	96	2	2	2	2	2	2	2	2	2	2	2	2	1	11	96	2	2	1	2	95	95	95	95	95	95	95	95	95	95	95	95	95	3	2	4	1	1	5	3	5	3	1	8	5	8	5	8	1	1	1	1	"Kona"	1945	72	3	1	2	8	9	90	6	6	3	6	2	8	8	2	0	1	1	1	1	90	3	28	10	2017	8
201710291123	"B2"	"ICENES2017"	14	5	1	3	2	95	8	6	98	96	5	95	5	95	4	5	95	1	4	3	5	2	2	95	4	4	5	5	5	1	2	3	2	2	5	2	2	95	95	95	95	95	6	6	2	9	8	5	4	5	6	5	2	10	7	6	3	4	4	5	8	2	3	7	6	5	2	1	3	4	6	6	96	5	5	5	5	5	5	5	5	5	5	5	5	2	0	4	5	5	1	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	3	2	4	4	3	3	5	2	4	5	5	1	5	5	4	4	2	3	"Karl"	1979	38	5	2	1	96	1	20	1	2	7	1	1	3	3	2	0	1	1	1	2	90	2	28	10	2017	13
201710291128	"B1"	"ICENES2017"	4	1	7	2	3	2	95	95	98	96	1	1	6	96	5	5	5	1	1	3	95	95	95	5	95	95	95	95	95	5	5	95	95	1	3	3	2	2	2	1	1	1	8	4	1	8	4	1	1	6	10	3	2	8	96	4	2	7	1	7	10	3	4	9	2	3	2	1	2	1	6	6	96	2	2	2	2	2	2	2	2	2	2	2	2	1	1	96	2	5	1	1	95	95	95	95	95	95	95	95	95	95	95	95	95	3	2	2	2	2	2	8	5	2	1	8	1	2	4	2	1	1	1	1	"Karl"	1936	81	5	5	2	5	7	70	6	6	6	6	1	8	8	1	0	1	1	1	1	1	2	28	10	2017	10
201710291136	"B2"	"ICENES2017"	73	1	6	2	3	95	98	96	98	96	5	95	5	95	5	4	95	1	10	2	5	3	2	95	3	2	1	1	1	2	6	3	2	9	5	1	9	95	95	95	95	95	3	8	6	3	2	4	9	3	5	8	8	5	4	3	9	4	4	10	10	0	1	5	10	6	7	2	0	96	1	2	10	5	5	5	5	5	5	5	5	5	5	5	5	1	10	96	5	5	1	2	3	98	98	2	98	10	4	10	4	4	3	5	2	3	3	4	2	5	2	4	1	1	2	1	2	9	9	9	9	9	9	9	"Karl"	1994	23	9	9	9	99	99	99	9	9	99	9	9	9	9	99	99	9	9	9	9	99	9	28	10	2017	10
201710291143	"B1"	"ICENES2017"	88	1	6	1	4	3	95	95	98	96	2	96	2	96	5	5	4	2	96	3	95	95	95	2	95	95	95	95	95	5	5	95	95	3	2	2	2	2	8	1	2	4	98	98	98	96	6	5	96	96	96	98	96	98	6	7	6	4	98	98	98	98	98	98	98	98	98	2	0	96	2	0	96	2	2	2	2	2	2	2	2	2	2	2	2	2	0	3	6	6	8	90	95	95	95	95	95	95	95	95	95	95	95	95	95	4	2	4	4	2	2	4	2	4	2	4	2	2	4	4	3	2	2	3	"Karl"	1996	20	4	3	2	6	6	99	6	6	4	6	3	8	8	4	0	1	1	1	1	90	1	28	10	2017	10
201710291156	"B1"	"ICENES2017"	51	5	1	3	2	3	95	95	98	96	2	96	2	96	5	4	4	2	96	2	95	95	95	1	95	95	95	95	95	5	5	95	95	2	4	2	3	3	2	2	2	3	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	0	6	10	0	4	7	5	4	5	2	0	96	2	0	96	2	2	2	2	2	2	2	2	2	2	2	2	7	97	96	6	6	7	97	95	95	95	95	95	95	95	95	95	95	95	95	95	2	2	1	4	4	2	4	2	2	4	4	2	4	4	4	3	3	1	3	"Karl"	1989	28	4	1	1	96	1	60	1	2	6	1	2	5	5	3	1	1	1	1	1	1	4	28	10	2017	13
201710291178	"B2"	"ICENES2017"	88	1	6	2	4	95	98	96	98	96	5	95	5	95	4	4	95	8	96	3	3	5	8	95	4	1	4	8	4	2	6	5	1	1	5	8	8	95	95	95	95	95	0	8	8	5	0	0	96	8	96	8	8	6	0	2	0	10	98	98	98	98	98	98	98	98	8	1	2	3	6	6	96	5	5	5	5	5	5	5	5	5	5	5	5	1	3	96	5	5	1	3	3	98	3	98	11	98	98	98	98	98	98	4	1	3	2	5	1	4	4	8	4	5	2	2	4	8	4	2	3	3	1	2	"Karl"	1956	61	4	1	1	96	1	70	1	2	3	1	3	1	1	3	0	1	1	1	1	1	3	28	10	2017	10
201710291197	"B1"	"ICENES2017"	36	1	6	1	4	3	95	95	98	96	2	96	1	2	3	2	3	2	96	3	95	95	95	4	95	95	95	95	95	5	5	95	95	1	2	8	3	2	4	4	8	5	98	3	98	98	0	0	7	98	2	2	6	7	0	0	8	5	98	98	98	98	98	98	98	98	4	2	0	96	1	2	10	2	2	2	2	2	2	2	2	2	2	2	2	1	10	96	2	2	1	94	95	95	95	95	95	95	95	95	95	95	95	95	95	3	2	5	4	4	3	4	8	5	4	2	3	4	5	2	3	3	2	2	"Kona"	1961	56	4	1	1	96	1	90	1	1	5	1	1	7	7	2	0	1	1	1	1	1	2	28	10	2017	10
201710291226	"B2"	"ICENES2017"	74	6	1	4	2	95	2	2	98	96	5	95	5	95	2	2	95	1	1	3	2	1	2	95	5	8	5	5	3	2	6	3	1	1	5	2	1	95	95	95	95	95	10	3	0	7	9	4	0	6	10	6	0	10	9	6	0	3	4	8	10	2	4	8	98	98	4	2	0	96	1	2	1	5	5	5	5	5	5	5	5	5	5	5	5	1	4	96	5	5	1	6	6	98	1	1	6	1	4	2	98	6	6	2	1	2	3	1	4	4	4	4	5	2	2	4	4	2	5	4	4	4	2	3	"Kona"	1986	31	2	1	2	4	10	50	6	6	7	6	2	3	3	3	1	1	1	1	1	90	1	28	10	2017	11
