"","X1","nuvirdi","teg_eign","ibm2","fjbilsk","fjherb","fjstof","matssvaedi","nafn_baer"
"1",1,16.4,"Íbúðareign",57.7,0,1,1,161,"Fell"
"2",2,27.87,"Íbúðareign",72.8,1,2,1,72,"Hagar/Melar vestan Hofsvallagötu"
"3",3,34.59,"Íbúðareign",116.8,0,3,1,700,"Garðarbær: Álftanes"
"4",4,21.2,"Einbýlishús",106.8,0,2,1,3000,"Akranes"
"5",5,24.24,"Íbúðareign",96,0,3,1,620,"Hafarfjörður: Hvaleyrarholt"
"6",6,21.2,"Íbúðareign",102.1,0,2,1,5110,"Sauðárkrókur"
"7",7,47.33,"Einbýlishús",205.4,0,5,2,290,"Kjalarnes"
"8",8,11.55,"Íbúðareign",43.2,0,1,1,100,"Laugarneshverfi/Vogar"
"9",9,12.41,"Einbýlishús",135,0,5,1,2050,"Keflavík"
"10",10,25.18,"Íbúðareign",96.2,0,2,1,330,"Kópavogur: Hjallar, Smárar"
"11",11,28.26,"Einbýlishús",234.9,0,5,1,3000,"Akranes"
"12",12,23.2,"Íbúðareign",89.3,0,2,1,6030,"Akureyri: Efri brekka"
"13",13,22.51,"Raðhús",125.9,0,3,1,2040,"Njarðvík"
"14",14,25.25,"Íbúðareign",100.3,1,1,1,510,"Garðabær: Sjáland"
"15",15,21.18,"Íbúðareign",125.4,0,3,2,680,"Hafnarfjörður - Börð"
"16",16,25.69,"Íbúðareign",103.3,0,3,1,340,"Kópavogur: Lindir, Salir"
"17",17,35.41,"Íbúðareign",103.9,1,2,1,320,"Kópavogur: Austurbær"
"18",18,60.69,"Einbýlishús",201,0,4,1,340,"Kópavogur: Lindir, Salir"
"19",19,86.33,"Einbýlishús",316.8,0,5,1,351,"Kópavogur: Kórar"
"20",20,25.45,"Íbúðareign",87,0,2,1,130,"Grafarvogur: Rimar, Engi, Víkur, Borgir"
"21",21,30.39,"Íbúðareign",110.6,1,2,1,840,"Mosfellsbær: Höfðar, Hlíðar"
"22",22,17.49,"Íbúðareign",51.7,0,1,1,72,"Hagar/Melar vestan Hofsvallagötu"
"23",23,10.08,"Íbúðareign",60.6,0,1,1,6040,"Akureyri: Glerárhverfi"
"24",24,9.82,"Íbúðareign",56.7,0,1,1,6040,"Akureyri: Glerárhverfi"
"25",25,12.96,"Íbúðareign",88.3,0,3,1,6040,"Akureyri: Glerárhverfi"
"26",26,43.26,"Einbýlishús",155,0,4,1,600,"Hafnarfjörður"
"27",27,20,"Íbúðareign",73.4,0,1,1,600,"Hafnarfjörður"
"28",28,22.36,"Íbúðareign",94.4,0,2,1,130,"Grafarvogur: Rimar, Engi, Víkur, Borgir"
"29",29,25.2,"Íbúðareign",87,1,2,1,340,"Kópavogur: Lindir, Salir"
"30",30,17.27,"Íbúðareign",53.9,0,1,1,20,"Miðbær: Frá Tjörn að Snorrabraut"
"31",31,21.3,"Íbúðareign",82.3,0,2,1,180,"Grafarholt"
"32",32,25.74,"Íbúðareign",90.2,0,3,2,280,"Fossvogur"
"33",33,21.47,"Íbúðareign",80.8,0,1,2,90,"Holt/Tún"
"34",34,28.8,"Raðhús",125.4,0,4,2,120,"Grafarvogur: Hamrar, Foldir, Hús"
"35",35,58.08,"Íbúðareign",178.3,2,2,1,90,"Holt/Tún"
"36",36,33.49,"Íbúðareign",100.3,1,1,1,510,"Garðabær: Sjáland"
"37",37,39.48,"Parhús",163.5,0,4,1,640,"Hafnarfjörður - Ásland"
"38",38,57.18,"Íbúðareign",150.6,1,3,1,320,"Kópavogur: Austurbær"
"39",39,20.73,"Íbúðareign",86.3,0,2,1,340,"Kópavogur: Lindir, Salir"
"40",40,22.37,"Íbúðareign",95.1,0,2,1,340,"Kópavogur: Lindir, Salir"
"41",41,10.47,"Íbúðareign",60.4,0,1,1,330,"Kópavogur: Hjallar, Smárar"
"42",42,15.45,"Íbúðareign",78.4,0,2,1,320,"Kópavogur: Austurbær"
"43",43,13.48,"Íbúðareign",72.2,0,2,1,161,"Fell"
"44",44,17.91,"Íbúðareign",92.2,0,2,2,120,"Grafarvogur: Hamrar, Foldir, Hús"
"45",45,7.76,"Einbýlishús",97.3,0,3,0,6030,"Akureyri: Efri brekka"
"46",46,29.19,"Íbúðareign",132.5,0,2,2,283,"Hvassaleiti"
"47",47,45.95,"Íbúðareign",155,0,4,2,80,"Hlíðar"
"48",48,21.16,"Íbúðareign",88.4,1,2,1,120,"Grafarvogur: Hamrar, Foldir, Hús"
"49",49,17.67,"Íbúðareign",92,0,2,2,200,"Árbær"
"50",50,16.48,"Íbúðareign",59.8,0,1,1,90,"Holt/Tún"
"51",51,17.96,"Íbúðareign",87.6,0,2,1,100,"Laugarneshverfi/Vogar"
"52",52,32.23,"Íbúðareign",101.6,2,1,2,75,"Skerjafjörður"
"53",53,9.9,"Einbýlishús",77.3,0,3,1,2050,"Keflavík"
"54",54,16.46,"Íbúðareign",61.1,0,1,1,500,"Garðabær"
"55",55,51.03,"Einbýlishús",185.5,0,3,2,630,"Hafnarfjörður - Vellir"
"56",56,13.75,"Íbúðareign",64.9,0,1,1,600,"Hafnarfjörður"
"57",57,23.89,"Íbúðareign",102.5,0,3,1,91,"Háaleiti/Skeifa"
"58",58,24.7,"Íbúðareign",100.2,1,3,1,72,"Hagar/Melar vestan Hofsvallagötu"
"59",59,18.5,"Íbúðareign",90,0,2,1,6080,"Akureyri: Giljahverfi"
"60",60,28.18,"Einbýlishús",170.6,0,3,1,8020,"Hveragerði"
"61",61,24.97,"Íbúðareign",109.8,1,2,1,810,"Mosfellsbær: Teigar, Krikar"
"62",62,18.79,"Íbúðareign",53.2,0,1,2,25,"Miðbær: Frá Bræðraborgarstíg að Tjörn"
"63",63,19,"Íbúðareign",83.3,0,2,1,6010,"Akureyri: Naustahverfi"
"64",64,19.77,"Íbúðareign",97,0,2,1,6010,"Akureyri: Naustahverfi"
"65",65,30.44,"Parhús",99.4,0,3,1,700,"Garðarbær: Álftanes"
"66",66,24.07,"Íbúðareign",88.8,0,2,1,640,"Hafnarfjörður - Ásland"
"67",67,30.3,"Íbúðareign",98.2,1,2,1,511,"Garðabær: Akrahverfi"
"68",68,30.9,"Íbúðareign",127.3,1,3,1,351,"Kópavogur: Kórar"
"69",69,66.17,"Einbýlishús",184.9,0,3,2,180,"Grafarholt"
"70",70,14.6,"Íbúðareign",64.1,0,1,1,170,"Neðra-Breiðholt"
"71",71,32.64,"Íbúðareign",121.6,0,3,1,210,"Ártúnsholt/Höfðar"
"72",72,15.55,"Íbúðareign",64.4,0,1,2,150,"Seljahverfi"
"73",73,21.5,"Íbúðareign",100.8,0,3,1,100,"Laugarneshverfi/Vogar"
"74",74,13.19,"Íbúðareign",51.2,0,2,1,20,"Miðbær: Frá Tjörn að Snorrabraut"
"75",75,13.99,"Íbúðareign",65,0,1,1,600,"Hafnarfjörður"
"76",76,18.59,"Íbúðareign",118.4,0,3,1,620,"Hafarfjörður: Hvaleyrarholt"
"77",77,57.26,"Einbýlishús",267.7,0,8,2,320,"Kópavogur: Austurbær"
"78",78,59.48,"Einbýlishús",183.9,0,5,2,300,"Kópavogur: Vesturbær"
"79",79,20.65,"Einbýlishús",179,0,4,1,7140,"Eskifjörður"
"80",80,114.79,"Einbýlishús",269.8,0,6,2,72,"Hagar/Melar vestan Hofsvallagötu"
"81",81,28.16,"Íbúðareign",116.6,0,4,1,100,"Laugarneshverfi/Vogar"
"82",82,14.81,"Íbúðareign",71.4,1,2,1,160,"Hólar, Berg"
"83",83,22.42,"Raðhús",115.3,0,3,1,2040,"Njarðvík"
"84",84,24.38,"Íbúðareign",114.2,0,4,1,680,"Hafnarfjörður - Börð"
"85",85,25.99,"Íbúðareign",97.7,0,2,1,680,"Hafnarfjörður - Börð"
"86",86,16.97,"Íbúðareign",51.7,0,1,1,600,"Hafnarfjörður"
"87",87,21.17,"Íbúðareign",64,0,1,1,20,"Miðbær: Frá Tjörn að Snorrabraut"
"88",88,20.59,"Íbúðareign",68.1,0,2,1,91,"Háaleiti/Skeifa"
"89",89,27.9,"Einbýlishús",144.3,0,6,2,600,"Hafnarfjörður"
"90",90,34.79,"Íbúðareign",114.7,0,3,1,70,"Melar: Að sjó"
"91",91,23.47,"Íbúðareign",89.1,0,2,1,110,"Bryggjuhverfi"
"92",92,33.71,"Íbúðareign",120.2,1,3,1,640,"Hafnarfjörður - Ásland"
"93",93,16.98,"Íbúðareign",82,1,1,1,270,"Norðlingaholt"
"94",94,14.21,"Íbúðareign",129.9,0,3,1,3000,"Akranes"
"95",95,18,"Íbúðareign",82.5,1,2,1,6080,"Akureyri: Giljahverfi"
"96",96,50.56,"Einbýlishús",240.5,0,5,1,6030,"Akureyri: Efri brekka"
"97",97,16.5,"Íbúðareign",84.1,0,2,1,600,"Hafnarfjörður"
"98",98,36.46,"Íbúðareign",106.2,1,2,1,320,"Kópavogur: Austurbær"
"99",99,49.94,"Raðhús",189,0,4,2,350,"Kópavogur: Hvörf, Þing"
"100",100,34.59,"Íbúðareign",103.5,1,2,1,320,"Kópavogur: Austurbær"
"101",101,24.12,"Íbúðareign",104.7,0,3,1,330,"Kópavogur: Hjallar, Smárar"
"102",102,24.99,"Raðhús",94,0,3,1,800,"Mosfellsbær"
"103",103,28.18,"Íbúðareign",117.1,0,2,1,140,"Grafarvogur: Staðir"
"104",104,28.46,"Íbúðareign",117.9,1,3,1,180,"Grafarholt"
"105",105,27.95,"Íbúðareign",100.4,1,2,1,840,"Mosfellsbær: Höfðar, Hlíðar"
"106",106,19.7,"Íbúðareign",101.6,0,3,2,160,"Hólar, Berg"
"107",107,10.21,"Einbýlishús",105.1,0,4,1,4020,"Patreksfjörður"
"108",108,37.23,"Íbúðareign",151.8,0,5,1,600,"Hafnarfjörður"
"109",109,45.77,"Einbýlishús",202,0,5,2,700,"Garðarbær: Álftanes"
"110",110,43.98,"Einbýlishús",187.3,0,4,1,630,"Hafnarfjörður - Vellir"
"111",111,28.49,"Íbúðareign",99.2,1,3,1,72,"Hagar/Melar vestan Hofsvallagötu"
"112",112,47.32,"Íbúðareign",150,0,3,3,90,"Holt/Tún"
"113",113,24.18,"Íbúðareign",100.7,0,3,1,281,"Réttarholt"
"114",114,26.39,"Íbúðareign",88.3,0,2,1,130,"Grafarvogur: Rimar, Engi, Víkur, Borgir"
"115",115,4.99,"Einbýlishús",206.3,0,6,1,4055,"Vesturbyggð"
"116",116,27.59,"Einbýlishús",142.2,0,4,1,2050,"Keflavík"
"117",117,18.39,"Einbýlishús",112.8,0,4,1,2020,"Sandgerði"
"118",118,16.43,"Íbúðareign",87.2,0,2,1,2040,"Njarðvík"
"119",119,25.92,"Einbýlishús",139.6,0,4,1,2030,"Garður"
"120",120,22.48,"Íbúðareign",73.3,0,1,1,80,"Hlíðar"
"121",121,16.67,"Íbúðareign",64.3,0,2,1,160,"Hólar, Berg"
