"";"User_Id";"dataset";"intervnrday";"mode";"elecdist";"geoarea";"urban";"polintr";"pltrust";"mipmtaskprt";"medtime";"medium";"pidsupport1";"prtcls";"pidsupport3";"voteimp";"civicvote";"pltscrp";"govprfm";"govprfmCov";"ecobettwors_1";"Eumship";"envirimp";"gincdif";"taxreduc";"capicntry";"ceqvote";"privhealth";"imueclt";"essfull";"prnsoci";"sevpun";"femfight";"genconsind";"acrproimp";"drugpol";"femequal";"referendcha";"prtfeel_FF";"prtfeel_B";"prtfeel_M";"prtfeel_P";"prtfeel_S";"prtfeel_D";"prtfeel_C";"prtfeel_V";"prtfeel_J";"ldrfeel_IS";"ldrfeel_SIJ";"ldrfeel_SDG";"ldrfeel_HM";"ldrfeel_LE";"ldrfeel_BB";"ldrfeel_TKG";"ldrfeel_KJ";"ldrfeel_GSE";"lrscale_FF";"lrscale_B";"lrscale_M";"lrscale_P";"lrscale_S";"lrscale_D";"lrscale_C";"lrscale_V";"lrscale_J";"lrscale";"democr";"pidclose1";"pidsymp1";"pidsymp3";"prthwcls";"mmbprt_0";"mmbprt_O";"mmbprt_Y";"mmbprt_F";"mmbprt_B";"mmbprt_J";"mmbprt_M";"mmbprt_P";"mmbprt_S";"mmbprt_D";"mmbprt_C";"mmbprt_V";"vote21";"votesat";"nvotesat";"votevar";"votefair";"hldecvote";"fvote17";"bprteco";"bprtimm";"bprteurope";"bprtfamily";"bprtisencit";"bprthealth";"bprtenvir";"bprtregpol";"bprtedu";"bprtequal";"bprthouse";"medruv";"medchtwo";"medradio";"medpaper";"medweb";"podcast";"medsoc";"medsocfre";"inteff";"dembest";"courts";"leadrul";"femrep";"leadbus";"leadexp";"leadciti";"demqual";"trustparl";"trustgov";"trustjud";"trustexp";"trustprt";"trustmed";"trustsocmed";"femrep.0";"covgen";"ecogen";"healthc";"covsoc";"covdem";"covfin";"covsick";"finworry";"rentown";"pjob";"uniwindw";"govpriv";"unmmb";"maritals";"hhmmb";"childs";"race";"gender";"yob";"mainjobflo";"educationflo";"incomecate";"church";"prtclsorig";"cntrybrncat";"languagecat";"hinctntyearcate";"rlgatnd";"elecday";"elecmonth";"elecyear";"distseat"
"1";202109250001;"ICENES2021";2;1;2;3;2;3;4;11;3;4;1;995;11;995;3;1;3;2;2;5;1;3;4;1;1;998;4;5;1;1;1;5;5;3;4;4;10;2;1;9;7;0;8;3;997;10;7;5;6;8;0;8;9;0;5;7;0;7;7;10;5;3;997;8;3;1;995;11;1;1;0;0;0;0;0;0;0;0;0;0;0;1;995;995;995;995;5;4;4;2;988;2;988;4;998;988;2;1;4;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;5;2;5;1;1;1;1;1;996;996;"Kona";1949;90;10;2;996;996;996;996;2;996;25;9;2021;8
"2";202109250002;"ICENES2021";2;1;7;1;4;2;3;2;2;1;2;2;996;995;4;3;2;1;4;4;2;2;2;4;3;1;4;3;2;1;5;3;3;4;4;3;7;8;0;5;5;7;5;7;997;8;8;5;7;5;6;3;9;4;5;6;8;4;4;8;7;4;997;7;2;2;2;995;995;1;0;0;0;0;0;0;0;0;0;0;0;1;995;995;995;995;3;2;2;998;2;2;11;2;4;2;2;2;2;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;4;1;2;3;2;1;3;2;1;996;"Kona";1974;20;70;2;996;996;996;996;2;996;25;9;2021;11
"3";202109250003;"ICENES2021";2;1;5;1;3;4;4;988;3;4;2;2;996;995;3;3;2;2;2;4;1;2;2;2;1;1;4;2;1;2;1;5;5;5;4;1;6;5;0;0;2;6;1;6;997;7;6;0;1;5;4;1;6;1;5;5;1;0;3;9;3;3;997;5;2;2;2;995;995;1;0;0;0;0;0;0;0;0;0;0;0;997;995;995;995;995;995;989;3;3;2;2;11;3;4;2;3;3;2;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;3;1;5;1;2;1;1;1;996;996;"Karl";1949;70;40;2;996;996;996;996;2;996;25;9;2021;13
"4";202109250004;"ICENES2021";2;1;4;8;2;3;4;988;3;2;2;1;996;995;4;1;4;4;5;5;997;1;1;1;1;1;5;1;1;2;1;4;5;997;1;3;5;6;5;2;2;7;3;2;997;7;8;7;5;4;5;4;0;2;997;997;997;997;997;997;997;997;997;8;4;1;995;3;2;1;0;0;0;0;0;0;0;0;0;0;0;997;995;995;995;995;995;3;3;988;988;2;988;3;3;2;3;3;3;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;2;1;0;1;2;1;3;1;996;996;"Kona";1963;10;80;997;996;3;996;996;997;996;25;9;2021;10
"5";202109250005;"ICENES2021";2;1;5;1;3;1;1;3;4;6;1;995;3;995;5;3;1;1;2;5;4;5;3;3;3;2;5;5;1;4;5;4;3;5;5;1;7;5;0;5;2;10;0;7;997;4;8;0;5;3;10;0;8;0;3;5;4;4;3;8;4;5;997;10;2;1;995;3;1;0;0;0;0;0;0;0;0;0;1;0;0;1;995;995;995;995;5;3;3;4;8;2;3;3;4;2;3;3;2;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;5;1;5;1;2;1;1;2;0;996;"Kona";1948;10;60;4;996;996;996;996;4;996;25;9;2021;13
"6";202109250006;"ICENES2021";2;1;2;3;2;4;5;995;2;2;2;2;996;995;5;1;2;2;3;3;1;1;5;1;2;2;5;4;998;4;2;4;1;1;3;3;5;5;0;5;998;2;5;4;997;5;5;0;5;4;1;5;5;991;5;5;998;998;2;8;7;3;997;5;3;2;2;995;995;1;0;0;0;0;0;0;0;0;0;0;0;1;995;995;995;995;1;989;998;6;998;2;2;998;998;998;998;6;998;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;1;2;8;998;2;998;4;3;996;996;"Kona";1971;70;20;1;996;996;996;996;1;996;25;9;2021;8
"7";202109250007;"ICENES2021";3;1;5;1;3;4;3;2;3;1;2;1;996;995;5;2;2;2;3;3;2;2;4;4;2;998;5;998;4;2;5;4;3;2;3;2;2;7;4;2;991;5;4;8;997;3;6;4;991;4;5;6;8;991;3;8;5;4;5;10;6;0;997;5;2;2;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0;1;995;995;995;995;1;4;3;998;2;6;11;4;4;998;2;4;8;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;5;1;0;1;1;1;3;1;996;996;"Kona";1987;20;70;2;996;2;996;996;2;996;25;9;2021;13
"8";202109250008;"ICENES2021";3;1;6;1;4;4;4;11;1;996;2;2;996;995;3;1;2;2;4;3;5;1;5;1;1;3;3;3;998;3;1;4;5;5;998;4;4;8;5;4;7;5;4;3;997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;997;997;4;2;2;995;995;1;0;0;0;0;0;0;0;0;0;0;0;998;995;995;995;995;995;997;12;12;998;12;998;998;12;12;998;998;998;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;3;1;5;1;3;1;1;1;996;996;"Karl";1945;70;40;2;996;996;996;996;2;996;25;9;2021;11
"9";202109250009;"ICENES2021";3;1;4;8;2;4;4;1;3;2;2;2;996;995;3;1;3;2;2;3;1;2;1;2;5;4;2;2;1;1;1;3;3;5;3;3;4;8;991;991;7;2;991;5;997;991;9;3;6;7;4;6;9;991;997;997;997;997;997;997;997;997;997;5;3;2;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;1;995;995;995;995;3;2;3;998;998;1;1;1;1;998;2;998;3;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;1;2;0;1;2;1;2;4;2;996;"Kona";1992;50;10;2;996;996;996;996;2;996;25;9;2021;10
"10";202109250010;"ICENES2021";3;1;6;1;4;3;2;3;3;2;1;995;3;995;5;3;1;1;3;4;2;2;4;2;1;2;4;3;3;2;2;3;4;998;4;3;6;8;4;5;4;9;5;7;997;6;9;4;6;5;7;8;8;4;5;9;5;6;4;10;7;4;997;8;2;1;995;3;2;1;0;0;0;0;0;0;0;0;0;0;0;1;995;995;995;995;4;2;3;4;3;2;11;3;4;2;3;2;11;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;995;5;1;4;1;2;1;1;5;3;996;"Kona";1980;20;70;5;996;996;996;996;5;996;25;9;2021;11
