"","gender","age","elecdist","polintr","pltrust","govprfmBB","prtfvote16"
"1","Karl",47,4,"Nokkurn áhuga",NA,NA,NA
"2","Kona",27,5,"Nokkurn áhuga",NA,NA,NA
"3","Karl",54,5,"Nokkurn áhuga","Fáum",NA,NA
"4","Karl",84,7,"Lítinn áhuga",NA,NA,NA
"5","Kona",53,6,"Nokkurn áhuga",NA,"Frekar illa",NA
"6","Kona",61,2,"Lítinn áhuga",NA,"Frekar illa","Framsóknarflokkurinn"
"7","Karl",86,7,"Mikinn áhuga","Fáum","Frekar illa","Vinstrihreyfingin grænt framboð"
"8","Karl",62,5,"Nokkurn áhuga","Sumum","Frekar illa","Vinstrihreyfingin grænt framboð"
"9","Kona",18,5,"Engan áhuga","Fáum","Frekar vel",NA
"10","Kona",72,2,"Engan áhuga","Engum","Mjög illa","Framsóknarflokkurinn"
"11","Karl",38,5,"Mikinn áhuga",NA,"Frekar illa","Vinstrihreyfingin grænt framboð"
"12","Karl",81,1,"Nokkurn áhuga"," Mörgum","Frekar illa","Samfylkingin"
"13","Karl",23,1,"Nokkurn áhuga",NA,"Frekar vel","Framsóknarflokkurinn"
"14","Karl",20,1,"Lítinn áhuga","Sumum","Frekar illa",NA
"15","Karl",28,5,"Mikinn áhuga","Sumum","Frekar vel",NA
"16","Karl",61,1,"Lítinn áhuga",NA,"Frekar illa","Sjálfstæðisflokkurinn"
"17","Kona",56,1,"Lítinn áhuga","Sumum","Frekar illa",NA
"18","Kona",31,6,"Mikinn áhuga",NA,"Frekar illa","Píratar"
"19","Karl",27,2,"Nokkurn áhuga",NA,"Frekar illa","Vinstrihreyfingin grænt framboð"
"20","Kona",25,2,"Lítinn áhuga",NA,"Frekar illa","Píratar"
"21","Kona",29,7,"Engan áhuga",NA,"Mjög vel",NA
"22","Kona",23,6,"Nokkurn áhuga",NA,NA,"Píratar"
"23","Karl",18,1,"Engan áhuga",NA,NA,NA
"24","Karl",56,5,"Mikinn áhuga",NA,"Frekar illa","Samfylkingin"
"25","Karl",18,5,"Lítinn áhuga",NA,NA,NA
"26","Kona",22,6,"Engan áhuga",NA,NA,"Kaus ekki"
"27","Karl",71,1,"Mikinn áhuga","Fáum","Frekar illa",NA
"28","Karl",42,2,"Nokkurn áhuga","Fáum","Frekar vel","Sjálfstæðisflokkurinn"
"29","Karl",26,6,"Nokkurn áhuga",NA,"Frekar illa","Píratar"
"30","Karl",23,1,"Engan áhuga",NA,NA,NA
"31","Kona",18,4,"Engan áhuga",NA,"Frekar vel",NA
